date,tmax_f,source
2022-04-10,49.20,open_meteo_gfs_seamless_historical_forecast
2022-04-11,60.00,open_meteo_gfs_seamless_historical_forecast
2022-04-12,72.30,open_meteo_gfs_seamless_historical_forecast
2022-04-13,69.00,open_meteo_gfs_seamless_historical_forecast
2022-04-14,80.10,open_meteo_gfs_seamless_historical_forecast
2022-04-15,69.60,open_meteo_gfs_seamless_historical_forecast
2022-04-16,70.30,open_meteo_gfs_seamless_historical_forecast
2022-04-17,50.50,open_meteo_gfs_seamless_historical_forecast
2022-04-18,53.60,open_meteo_gfs_seamless_historical_forecast
2022-04-19,48.80,open_meteo_gfs_seamless_historical_forecast
2022-04-20,59.90,open_meteo_gfs_seamless_historical_forecast
2022-04-21,59.70,open_meteo_gfs_seamless_historical_forecast
2022-04-22,69.90,open_meteo_gfs_seamless_historical_forecast
2022-04-23,63.60,open_meteo_gfs_seamless_historical_forecast
2022-04-24,61.70,open_meteo_gfs_seamless_historical_forecast
2022-04-25,56.30,open_meteo_gfs_seamless_historical_forecast
2022-04-26,56.30,open_meteo_gfs_seamless_historical_forecast
2022-04-27,56.00,open_meteo_gfs_seamless_historical_forecast
2022-04-28,57.20,open_meteo_gfs_seamless_historical_forecast
2022-04-29,63.10,open_meteo_gfs_seamless_historical_forecast
2022-04-30,67.70,open_meteo_gfs_seamless_historical_forecast
2022-05-01,68.30,open_meteo_gfs_seamless_historical_forecast
2022-05-02,55.00,open_meteo_gfs_seamless_historical_forecast
2022-05-03,61.40,open_meteo_gfs_seamless_historical_forecast
2022-05-04,64.80,open_meteo_gfs_seamless_historical_forecast
2022-05-05,74.20,open_meteo_gfs_seamless_historical_forecast
2022-05-06,61.70,open_meteo_gfs_seamless_historical_forecast
2022-05-07,50.20,open_meteo_gfs_seamless_historical_forecast
2022-05-08,58.10,open_meteo_gfs_seamless_historical_forecast
2022-05-09,70.10,open_meteo_gfs_seamless_historical_forecast
2022-05-10,72.50,open_meteo_gfs_seamless_historical_forecast
2022-05-11,73.70,open_meteo_gfs_seamless_historical_forecast
2022-05-12,73.20,open_meteo_gfs_seamless_historical_forecast
2022-05-13,70.70,open_meteo_gfs_seamless_historical_forecast
2022-05-14,73.30,open_meteo_gfs_seamless_historical_forecast
2022-05-15,76.80,open_meteo_gfs_seamless_historical_forecast
2022-05-16,75.90,open_meteo_gfs_seamless_historical_forecast
2022-05-17,77.20,open_meteo_gfs_seamless_historical_forecast
2022-05-18,73.90,open_meteo_gfs_seamless_historical_forecast
2022-05-19,66.00,open_meteo_gfs_seamless_historical_forecast
2022-05-20,68.80,open_meteo_gfs_seamless_historical_forecast
2022-05-21,92.10,open_meteo_gfs_seamless_historical_forecast
2022-05-22,91.80,open_meteo_gfs_seamless_historical_forecast
2022-05-23,74.00,open_meteo_gfs_seamless_historical_forecast
2022-05-24,67.30,open_meteo_gfs_seamless_historical_forecast
2022-05-25,71.10,open_meteo_gfs_seamless_historical_forecast
2022-05-26,69.60,open_meteo_gfs_seamless_historical_forecast
2022-05-27,79.50,open_meteo_gfs_seamless_historical_forecast
2022-05-28,74.00,open_meteo_gfs_seamless_historical_forecast
2022-05-29,78.70,open_meteo_gfs_seamless_historical_forecast
2022-05-30,86.90,open_meteo_gfs_seamless_historical_forecast
