station,valid,tmpf,dwpf,sknt,drct,alti,p01i,vsby,skyc1
NYC,2023-01-01 00:51,50.00,49.00,0.00,0.00,29.85,0.02,1.75,OVC
NYC,2023-01-01 01:51,55.00,53.00,6.00,250.00,29.82,0.04,4.00,OVC
NYC,2023-01-01 02:51,54.00,53.00,0.00,0.00,29.81,0.11,2.50,OVC
NYC,2023-01-01 03:51,55.00,52.00,5.00,280.00,29.79,0.04,10.00,FEW
NYC,2023-01-01 04:51,54.00,52.00,0.00,0.00,29.76,0.01,7.00,FEW
NYC,2023-01-01 05:51,53.00,51.00,5.00,M,29.77,T,6.00,FEW
NYC,2023-01-01 06:51,53.00,50.00,7.00,230.00,29.76,T,7.00,FEW
NYC,2023-01-01 07:51,52.00,50.00,5.00,240.00,29.78,0.00,9.00,CLR
NYC,2023-01-01 08:51,53.00,49.00,8.00,260.00,29.79,0.00,10.00,CLR
NYC,2023-01-01 09:51,52.00,48.00,4.00,M,29.81,0.00,10.00,CLR
NYC,2023-01-01 10:51,51.00,48.00,3.00,M,29.83,0.00,10.00,CLR
NYC,2023-01-01 11:51,51.00,46.00,4.00,M,29.85,0.00,10.00,CLR
NYC,2023-01-01 12:51,50.00,44.00,5.00,M,29.87,0.00,10.00,CLR
NYC,2023-01-01 13:51,50.00,42.00,6.00,300.00,29.90,0.00,10.00,CLR
NYC,2023-01-01 14:51,52.00,40.00,6.00,M,29.95,0.00,10.00,CLR
NYC,2023-01-01 15:51,53.00,38.00,5.00,M,29.97,0.00,10.00,CLR
NYC,2023-01-01 16:51,52.00,37.00,7.00,290.00,29.94,0.00,10.00,CLR
NYC,2023-01-01 17:51,53.00,37.00,9.00,280.00,29.95,0.00,10.00,CLR
NYC,2023-01-01 18:51,54.00,35.00,5.00,280.00,29.95,0.00,10.00,CLR
NYC,2023-01-01 19:51,53.00,32.00,6.00,290.00,29.95,0.00,10.00,CLR
NYC,2023-01-01 20:51,53.00,30.90,4.00,300.00,29.97,0.00,10.00,CLR
NYC,2023-01-01 21:51,53.00,31.00,3.00,290.00,29.98,0.00,10.00,OVC
NYC,2023-01-01 22:51,51.00,30.90,0.00,0.00,29.99,0.00,10.00,CLR
NYC,2023-01-01 23:51,50.00,30.90,3.00,270.00,30.02,0.00,10.00,CLR
NYC,2023-01-02 00:51,51.00,34.00,3.00,250.00,30.03,0.00,10.00,CLR
NYC,2023-01-02 01:51,51.00,34.00,0.00,0.00,30.05,0.00,10.00,BKN
